"Population by age, sex and year"

"age" "sex" "1860" "1861" "1862" "1863" "1864" "1865" "1866" "1867" "1868" "1869" "1870" "1871" "1872" "1873" "1874" "1875" "1876" "1877" "1878" "1879" "1880" "1881" "1882" "1883" "1884" "1885" "1886" "1887" "1888" "1889" "1890" "1891" "1892" "1893" "1894" "1895" "1896" "1897" "1898" "1899" "1900" "1901" "1902" "1903" "1904" "1905" "1906" "1907" "1908" "1909" "1910" "1911" "1912" "1913" "1914" "1915" "1916" "1917" "1918" "1919" "1920" "1921" "1922" "1923" "1924" "1925" "1926" "1927" "1928" "1929" "1930" "1931" "1932" "1933" "1934" "1935" "1936" "1937" "1938" "1939" "1940" "1941" "1942" "1943" "1944" "1945" "1946" "1947" "1948" "1949" "1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009" "2010" "2011" "2012" "2013" "2014" "2015" "2016" "2017" "2018" "2019" "2020"
"24 years" "women" 32119 30728 29814 30910 33425 32297 34240 33190 35038 33058 30469 30913 32661 35054 33965 33727 32339 34736 38446 36080 35416 36393 39157 39463 39475 36956 38870 39690 39514 38664 38111 34551 30537 33005 33944 36344 35582 36960 37517 39101 39276 41281 40001 41468 40314 40075 40882 41401 43378 43520 44714 45805 45142 44178 45317 46271 45356 46845 46963 48316 48563 48675 49950 48924 51597 51616 52211 51421 51875 52926 53518 54162 55192 56275 54558 54695 55098 54189 53881 51656 51623 51841 50708 50013 60410 56493 52382 51477 50470 49440 47929 46505 47209 44998 45723 44648 44263 41985 42601 42280 44149 44906 46691 48522 47593 50279 56517 62028 65565 66841 67824 66467 65342 62355 58923 56490 56414 56503 54723 55727 55720 55822 54219 53678 52959 53647 54881 57367 62687 62764 62836 62249 59105 56025 57489 58918 58285 57163 57556 54672 52199 51164 50363 52138 53173 52147 52218 52501 54175 56946 59124 60565 63697 65582 69577 68976 68878 67178 65530 61319 57940
"25 years" "men" 31840 30666 29448 28322 29293 32164 30733 32617 31849 33041 29679 28056 28369 29799 32516 31855 32556 31394 33816 37446 33239 32084 32680 35984 36854 36920 34396 36682 37701 37546 35052 35223 31305 27281 31213 32411 34956 34403 35928 36779 38653 39129 40446 38823 40672 39468 40108 39496 39851 42080 42305 42984 44430 44005 42292 43189 44962 44364 45537 46079 48124 48413 48798 48869 48049 50184 50752 51010 50117 51149 51452 53719 54707 55890 57819 56595 56458 56853 56047 55190 52957 53114 53120 51838 51869 62346 58224 53832 53440 51692 50676 48629 47222 47204 45259 45827 45215 44855 43004 42878 43910 45450 46679 48522 51041 51377 54637 61197 66069 70937 72167 72041 69550 67711 64759 61862 59125 59458 59581 57466 58380 59077 57533 56728 56703 54903 56467 58116 61550 66678 67284 67231 66228 61934 59212 59290 61412 60774 59454 59958 57028 54680 53855 52613 54451 55904 55071 56233 56507 58452 61517 62850 63400 67543 69542 74108 75157 74734 72416 70492 66851
"25 years" "women" 33044 31940 30529 29619 30654 33152 32005 33924 32580 34216 32351 30030 30462 32225 34645 33560 33494 32062 34402 38006 34797 34530 35352 38388 38894 38924 36284 37798 38582 38733 37406 37250 33797 29868 32751 33525 35908 35243 36575 37055 38552 38738 40455 39291 40974 39734 39656 40443 41072 42977 43381 44273 45350 44615 43849 44945 46000 45128 46147 46707 48175 48246 48400 49475 48609 51118 51222 51830 51066 51595 52721 53304 54106 55061 56163 54556 54602 55011 54113 53833 51637 51524 51761 50706 50082 60543 56860 52877 51847 50659 49789 48239 46653 47209 45056 45902 44729 44322 42094 42494 42359 44248 44926 46743 48691 47887 50560 56503 61979 66010 67320 67777 66045 65104 62415 59106 56779 56841 56829 55007 55981 55794 55913 54211 53844 53114 53888 55263 57839 63388 63350 63262 62574 59593 56729 57701 59107 58473 57378 57858 55151 52691 51727 50989 52800 53839 53103 53236 53563 55401 58057 59907 61637 64809 66754 70649 70528 70320 68439 66703 62137
"26 years" "men" 32070 31582 30380 29165 28001 28921 31704 30260 31704 30673 30778 29013 27502 27864 29346 32113 31590 32288 31060 33147 34438 31951 30848 31895 35396 36294 36050 33546 35530 37016 34798 34206 34326 30583 27125 30914 32055 34599 34133 35585 35989 38022 38000 39366 38338 39956 38909 39542 39232 39103 41517 41615 42503 43521 43175 41673 42701 44567 43475 45111 45403 47665 47786 47452 48304 47259 49509 50107 50432 49645 50827 51628 53633 54610 55772 57604 56454 56257 56685 55925 55156 52862 53006 53050 51847 51831 62469 58518 54160 53568 51752 50911 48807 47108 47265 45589 46102 45484 44863 42909 43098 44169 45616 46903 49092 51953 52093 54621 61141 66856 71688 72048 71436 69237 67782 65064 62373 59558 59816 59916 57671 58383 59136 57498 56932 56975 55341 56923 58700 62512 67447 67731 67554 66666 62533 59440 59448 61530 60947 59699 60395 57583 55288 54324 53228 55213 57098 56220 57291 57899 59933 62430 63620 64434 68963 70944 76198 76708 75873 73547 71134
"26 years" "women" 33276 32850 31742 30331 29380 30403 32844 31702 33339 31838 33342 31851 29606 30038 31808 34244 33344 33219 31760 33991 36700 33962 33608 34688 37848 38357 38280 35317 36877 37847 37739 36571 36403 33136 29642 32425 33146 35511 34918 36182 36606 38082 38028 39785 38874 40463 39332 39211 40141 40702 42855 42872 43927 44884 44298 43567 44673 45754 44391 45844 46606 47899 47924 47940 49163 48201 50764 50906 51464 50776 51440 52568 53252 53865 54941 56124 54422 54458 54944 54070 53832 51548 51453 51752 50738 50137 60843 57160 53160 52047 50886 50129 48355 46617 47267 45229 46034 44823 44360 42018 42243 42439 44293 44948 46933 49008 48128 50525 56533 62375 66352 67196 67356 65866 65172 62514 59339 57147 57124 57023 55132 56100 55850 55898 54309 53977 53348 54154 55692 58419 63942 63724 63584 63051 60264 56947 57845 59259 58737 57724 58326 55676 53244 52191 51562 53395 54747 54025 54214 54699 56485 58875 60870 62631 65984 67776 72240 72030 71550 69686 67519
"27 years" "men" 31712 31795 31290 30106 28844 27250 28500 31261 29415 30632 28681 30145 28466 27046 27477 28988 31891 31337 31961 30473 30747 33253 30828 30177 31421 34903 35454 34777 32442 34768 34002 33880 33190 33650 30490 26890 30567 31838 34336 33860 34672 35457 37152 37112 38932 37828 39453 38402 39320 38671 38719 40922 41173 41782 42861 42595 41198 42375 43471 43095 44532 45005 47120 46511 46950 47587 46638 48915 49602 49996 49330 50982 51700 53422 54530 55688 57474 56306 56105 56586 55939 55076 52740 52955 53050 51875 52116 62902 58826 54288 53633 51972 51038 48765 47201 47540 45816 46404 45451 44758 42928 43331 44277 45726 47348 49934 52558 52068 54528 61727 67548 71554 71503 70964 69233 67987 65414 62830 59854 60074 60046 57649 58375 59156 57675 57188 57244 55753 57453 59644 63142 67819 68078 67992 67252 62754 59618 59535 61687 61147 60091 60869 58066 55770 54824 53850 56200 58145 57286 58534 59093 60669 63151 64599 65739 70264 73101 77718 77948 76966 74178
"27 years" "women" 32856 33062 32633 31532 30098 29146 30109 32546 31157 32645 31121 32853 31435 29213 29655 31458 34030 33085 32942 31405 33099 35890 33110 33036 34203 37362 37768 37426 34540 36216 36916 36985 35803 35742 32887 29337 32084 32894 35264 34597 35804 36205 37504 37457 39409 38478 40076 38963 38940 39775 40637 42465 42533 43515 44570 43970 43344 44400 45021 44133 45709 46359 47625 47511 47621 48731 47835 50426 50639 51171 50572 51239 52491 53142 53770 54857 55974 54303 54330 54902 54052 53746 51474 51440 51749 50791 50371 61258 57444 53304 52273 51203 50248 48346 46629 47369 45274 46109 44853 44283 41937 42311 42484 44287 45087 47201 49241 48122 50492 56899 62650 66245 66811 67043 65793 65263 62669 59684 57318 57279 57140 55231 56049 55866 55937 54429 54134 53668 54561 56287 58990 64288 64032 64010 63625 60474 57065 57966 59423 58974 58124 58771 56138 53720 52671 52071 54002 55542 54854 55273 55645 57169 59677 61849 63617 66894 69341 73732 73283 72657 70334
"28 years" "men" 28582 31441 31505 31017 29778 28518 26852 28095 30484 28438 28775 28125 29600 28017 26675 27173 28790 31655 31012 31409 28575 29691 32196 30236 29798 31024 34156 34388 33738 31858 32148 33211 33037 32640 33547 30229 26628 30354 31655 34048 32921 34242 34725 36338 36767 38492 37376 39004 38202 38819 38107 38174 40502 40580 41277 42272 42218 40868 41498 43073 42383 44220 44553 45856 46034 46213 46995 46148 48488 49252 49784 49451 50997 51506 53308 54411 55558 57272 56160 56013 56512 55837 54959 52663 52912 53063 52033 52316 63150 58899 54252 53814 52014 50939 48758 47496 47724 46061 46398 45324 44736 43099 43418 44373 46042 47968 50464 52529 51928 55224 62248 67333 71015 71088 70962 69392 68266 65717 63025 60050 60149 60004 57599 58295 59243 57880 57409 57532 56353 58287 60247 63540 68049 68472 68418 67383 62867 59776 59757 61921 61449 60499 61339 58540 56254 55348 54757 57236 59076 58288 59646 59751 61321 63986 65838 66794 72176 74573 78928 78952 77625
"28 years" "women" 29472 32638 32824 32421 31299 29864 28889 29831 32029 30465 31983 30684 32426 31049 28865 29341 31230 33763 32815 32581 30609 32352 35084 32575 32612 33782 36811 36987 36613 33947 35570 36247 36328 35202 35484 32594 29101 31818 32643 34964 34392 35473 35709 36988 37100 38983 38149 39705 38736 38602 39659 40263 42157 42177 43181 44202 43769 43107 43721 44742 44279 45464 46089 47183 47240 47220 48375 47543 50139 50349 51027 50413 51190 52373 53017 53746 54690 55832 54231 54287 54869 53959 53639 51449 51466 51757 51074 50619 61517 57507 53453 52516 51370 50190 48301 46759 47419 45336 46111 44762 44281 41988 42285 42509 44417 45325 47384 49254 48068 50861 57110 62551 65918 66534 66951 65854 65341 62981 59852 57440 57371 57169 55196 55994 55944 56045 54620 54380 54037 55073 56825 59382 64512 64451 64609 63727 60511 57194 58131 59665 59374 58545 59225 56530 54121 53161 52755 54729 56477 55608 56155 56368 57906 60426 62807 64532 68358 70759 75086 74405 73386
"29 years" "men" 26293 28357 31159 31213 30689 29437 28111 26494 27374 29602 27079 28252 27640 29160 27647 26369 27022 28587 31358 30507 29656 27655 28776 31632 29888 29443 30415 33218 33457 33214 29977 31556 32510 32504 32531 33301 30018 26462 30172 31439 33071 32586 33671 34135 36016 36299 38059 36988 38818 37794 37698 37626 37823 39899 40102 40835 41897 41878 40034 41162 42603 42086 43780 43672 45371 45369 45751 46594 45853 48164 49031 49889 49490 50871 51431 53283 54235 55426 57147 56076 55927 56414 55714 54871 52644 52913 53170 52321 52466 63168 58914 54374 53841 51911 50928 48952 47654 47954 46069 46329 45186 44869 43109 43475 44680 46603 48406 50408 52455 52330 55665 62093 66776 70703 71084 71039 69529 68525 65829 63197 60086 60032 59908 57570 58404 59357 58036 57692 57974 57163 58784 60564 63817 68476 69020 68445 67423 62877 59948 59900 62287 61883 60942 61714 58916 56727 56183 55710 58162 60107 59035 60222 60362 62199 65156 66873 68585 73635 75783 80028 79589
"29 years" "women" 27379 29268 32408 32617 32176 31060 29592 28628 29331 31377 30074 31582 30280 32048 30695 28571 29145 30974 33505 32450 31829 29934 31640 34563 32189 32258 33280 36086 36272 36045 33522 34963 35591 35797 34977 35195 32330 28900 31580 32431 34644 34102 34981 35298 36678 36707 38625 37806 39446 38430 38701 39367 40005 41793 41877 42916 43935 43551 42464 43432 44805 44004 45196 45754 46943 46875 46918 48058 47275 49885 50247 50803 50394 51103 52249 52921 53604 54558 55730 54128 54194 54773 53867 53611 51463 51471 51941 51268 50816 61596 57703 53649 52627 51343 50137 48440 46790 47499 45336 46060 44774 44327 41985 42316 42579 44640 45493 47379 49284 48342 51149 57043 62259 65610 66511 67045 65942 65604 63113 59931 57495 57313 57164 55131 56005 56043 56143 54901 54704 54600 55514 57177 59686 64888 65036 64716 63749 60608 57421 58313 59933 59723 58924 59560 56892 54553 53818 53376 55459 57498 56357 56895 57116 58779 61355 63579 66003 69794 72016 76260 75006
"30 years" "men" 28117 26073 28080 30875 30889 30333 29013 27764 25871 26537 28378 26624 27811 27240 28781 27325 26226 26833 28312 30917 29364 28837 26886 28268 31304 29545 28968 29643 32421 32979 31598 29459 30878 31968 32371 32304 33018 29792 26321 29966 30365 32802 32049 33121 33844 35667 35953 37687 36821 38442 36810 37218 37250 37361 39452 39655 40550 41622 41092 39671 40724 42308 41722 42911 43267 44801 44898 45395 46230 45585 47883 49132 49889 49341 50844 51384 53138 54106 55301 57056 56003 55825 56300 55569 54844 52670 53031 53427 52487 52456 63077 58982 54353 53640 51844 51142 49019 47828 47892 45975 46257 45280 44862 43165 43659 45176 47013 48343 50275 52889 52761 55423 61622 66303 70620 71131 71201 69763 68565 65856 63218 59925 59985 59861 57617 58507 59462 58267 58091 58592 57662 59048 60784 64182 68951 69066 68452 67473 63005 60083 60254 62701 62297 61327 61992 59376 57472 57016 56473 58993 60964 59660 60767 61068 63210 66050 68631 69972 74871 76764 80578
"30 years" "women" 29585 27185 29058 32192 32355 31909 30760 29315 28168 28739 30869 29715 31215 29928 31672 30403 28404 28942 30730 33169 32014 31206 29325 31171 34174 31837 31808 32632 35435 35769 35554 33030 34406 35087 35541 34654 34934 32062 28694 31300 32252 34347 33677 34569 34992 36324 36398 38288 37601 39117 38493 38397 39048 39698 41499 41602 42676 43689 42907 42194 43501 44556 43777 44826 45496 46583 46591 46631 47785 47075 49695 49974 50756 50311 51054 52302 52761 53514 54472 55686 54088 54099 54645 53812 53614 51563 51623 52063 51366 50841 61750 57736 53693 52533 51307 50206 48469 46891 47511 45311 46128 44811 44328 41987 42428 42743 44796 45499 47388 49518 48515 51051 56744 61984 65559 66516 67115 66166 65689 63116 59904 57433 57281 57140 55142 56061 56191 56356 55208 55227 55045 55831 57371 60099 65547 65064 64661 63793 60791 57586 58655 60326 60130 59356 59908 57300 55110 54435 54151 56329 58206 56991 57677 57818 59655 62224 64938 67193 71014 73098 76874
"31 years" "men" 29001 27891 25828 27830 30585 30564 29909 28673 27166 25107 25746 27954 26214 27444 26871 28488 27171 26047 26575 27910 29931 28611 28124 26459 27967 30998 29104 28321 28991 31965 31572 31120 28878 30453 31906 32165 32056 32808 29607 26177 28941 30088 32368 31596 32905 33541 35445 35653 37540 36436 37380 36374 36914 36858 36972 39057 39400 40286 40836 40776 39453 40543 41947 40982 42581 42689 44367 44583 45064 45984 45343 48063 49213 49753 49302 50792 51243 53010 53977 55207 57076 55938 55718 56203 55583 54816 52810 53192 53541 52448 52351 63216 58984 54198 53597 51993 51164 49139 47781 47815 45913 46334 45297 44870 43367 44045 45493 46986 48239 50599 53238 52604 54861 61235 66212 70631 71174 71281 69761 68543 65740 63014 59782 59889 59792 57690 58609 59668 58620 58651 59030 57931 59221 61100 64618 68975 69007 68439 67548 63142 60359 60620 63041 62604 61571 62391 59954 58225 57777 57266 59638 61504 60172 61415 61908 64131 67738 69933 71078 75932 77335
"31 years" "women" 30788 29386 26971 28856 31934 32073 31603 30474 28881 27629 28548 30512 29376 30863 29582 31379 30239 28206 28686 30403 32745 31411 30625 28926 30820 33795 31410 31257 32120 34972 35598 35044 32519 33924 34819 35253 34376 34670 31862 28457 31345 32005 33950 33327 34293 34679 36004 36084 38009 37304 39207 38153 38151 38731 39400 41200 41385 42413 43083 42674 42193 43258 44290 43449 44624 45129 46303 46346 46399 47543 46990 49551 49933 50695 50230 50936 52167 52668 53433 54428 55596 53998 53951 54601 53831 53701 51722 51739 52199 51395 50876 61786 57790 53592 52504 51346 50252 48509 46879 47448 45237 46117 44804 44349 42060 42605 42886 44814 45469 47574 49708 48396 50776 56537 61961 65595 66584 67239 66185 65691 63109 59826 57361 57248 57153 55200 56160 56381 56671 55634 55558 55361 56040 57747 60629 65587 65094 64736 63912 60945 57891 59057 60695 60492 59666 60162 57826 55751 55219 54956 56937 58784 57596 58314 58615 60279 63471 66138 68303 71947 73661
"32 years" "men" 27192 28780 27647 25600 27564 30257 30166 29552 28051 26452 24449 25336 27572 25865 27101 26581 28320 26999 25826 26202 27239 29220 27961 27726 26175 27691 30572 28433 27724 28617 31018 31081 30594 28549 30381 31694 31946 31860 32629 29447 25310 28716 29693 31905 31397 32617 33241 35159 35475 37240 35454 36973 36082 36426 36457 36563 38824 39172 39599 40541 40467 39304 40160 41378 40689 42033 42266 44004 44360 44821 45752 45429 48095 49156 49692 49250 50677 51122 52880 53913 55141 56996 55797 55594 56210 55574 55031 52933 53280 53487 52332 52346 63199 58789 54150 53730 52004 51287 49123 47665 47719 45919 46310 45327 45032 43667 44330 45446 46794 48529 50943 53000 52168 54405 61123 66224 70587 71246 71257 69704 68400 65526 62894 59645 59862 59795 57701 58761 59944 59194 59009 59210 58109 59485 61588 64624 68943 69015 68574 67572 63366 60721 60923 63342 62778 61828 63080 60706 58936 58502 57840 60123 62061 60722 62292 62723 65662 68898 70994 71904 76492
"32 years" "women" 29277 30570 29167 26775 28620 31673 31775 31315 30055 28355 27317 28203 30184 29034 30532 29288 31209 30026 27968 28388 30126 32183 30857 30233 28630 30484 33382 30923 30797 31692 34958 35124 34539 32051 33685 34498 34999 34135 34464 31594 28504 31066 31674 33570 33053 34019 34436 35718 35920 37757 37268 38904 37930 37842 38451 39171 41010 41165 41814 42839 42741 41955 43023 43972 43227 44269 44865 46066 46100 46213 47364 46754 49482 49926 50633 50182 50793 52054 52564 53363 54371 55495 53877 53873 54588 53817 53856 51912 51847 52227 51419 50968 61795 57700 53581 52528 51365 50313 48560 46806 47338 45258 46117 44771 44424 42194 42735 42882 44777 45668 47810 49661 48180 50620 56510 61964 65645 66717 67296 66209 65618 63033 59783 57338 57217 57167 55254 56359 56630 57054 55930 55820 55601 56414 58324 60670 65561 65103 64855 64070 61150 58186 59354 61035 60789 59903 60629 58372 56382 55964 55490 57484 59375 58205 59039 59298 61455 64686 67238 69262 72499
"33 years" "men" 25689 26972 28528 27432 25320 27258 29872 29807 28951 27354 25650 24096 24970 27239 25528 26811 26419 28126 26782 25491 25760 26613 28616 27550 27444 25896 27305 29958 27835 27354 27912 30550 30521 30183 28381 30136 31419 31741 31666 32387 28368 25088 28300 29268 31674 31099 32296 32920 34899 35136 36160 35061 36640 35624 35999 36118 36330 38625 38529 39351 40351 40234 39019 39576 41039 40261 41710 42032 43777 44146 44657 45838 45469 47936 49113 49649 49112 50532 51026 52816 53865 55039 56865 55672 55571 56208 55810 55199 53019 53220 53434 52360 52307 63028 58676 54226 53772 52107 51267 49022 47504 47748 45901 46296 45445 45392 43896 44287 45368 47065 48790 50777 52596 51819 54215 61095 66251 70626 71188 71196 69545 68172 65330 62769 59591 59810 59829 57844 58924 60358 59473 59211 59295 58447 59911 61606 64595 68923 69056 68719 67716 63617 61052 61217 63495 63065 62324 63731 61243 59544 58996 58297 60544 62630 61486 63016 64040 66723 69885 71858 72405
"33 years" "women" 26793 29072 30344 28963 26544 28354 31393 31499 30893 29523 28007 27012 27879 29848 28708 30237 29122 30989 29805 27704 28362 29614 31647 30479 29936 28334 30118 32935 30483 30406 31814 34468 34654 34117 31853 33449 34235 34763 33941 34216 31427 28248 30759 31374 33325 32782 33757 34219 35493 35653 37530 37000 38690 37643 37594 38173 38997 40798 40588 41556 42919 42541 41730 42735 43721 42854 44001 44620 45868 45888 46148 47143 46685 49372 49806 50540 50047 50676 51968 52487 53217 54284 55386 53819 53851 54695 54013 54036 52022 51845 52345 51424 50933 61662 57626 53678 52529 51411 50300 48507 46778 47340 45259 46133 44831 44515 42298 42740 42858 44967 45817 47738 49467 48007 50553 56514 61983 65710 66712 67305 66153 65516 62966 59663 57269 57207 57210 55396 56582 56958 57354 56128 55974 55944 56910 58359 60708 65620 65160 64973 64352 61440 58506 59655 61201 61118 60402 61178 59025 57034 56357 55943 58088 60080 58930 59740 60386 62531 65650 68001 69645
"34 years" "men" 28306 25464 26728 28312 27149 25035 26913 29529 29218 28262 26344 25301 23749 24655 26885 25238 26665 26221 27905 26466 25120 25207 26031 28233 27255 27176 25549 26750 29425 27501 26974 27499 30105 30143 30088 28157 29915 31191 31519 31434 31130 28120 24742 27908 29052 31391 30837 31987 32751 34546 34196 35783 34784 36243 35245 35670 35922 36161 38012 38227 39335 40168 39937 38496 39292 40609 39894 41447 41817 43548 43958 44673 45821 45403 47881 49128 49476 48992 50427 50945 52699 53759 54881 56730 55588 55523 56375 55917 55281 52996 53171 53402 52285 52171 62931 58730 54245 53847 52049 51154 48924 47494 47702 45891 46402 45614 45639 43820 44211 45625 47356 48563 50372 52183 51681 54172 60992 66277 70535 71009 71003 69314 67971 65134 62661 59548 59730 59936 58043 59284 60659 59667 59365 59578 58844 59875 61565 64562 68923 69057 68870 67914 63910 61231 61412 63660 63689 62908 64195 61838 59954 59456 58693 61120 63464 62086 64250 65009 67627 70723 72106
"34 years" "women" 29901 26597 28849 30124 28718 26291 28076 31127 31051 30361 29138 27684 26712 27552 29522 28430 30061 28913 30741 29532 27521 27908 29114 31290 30180 29638 28012 29711 32474 30109 30330 31412 33983 34243 33910 31599 33225 34020 34536 33711 34064 31180 27972 30460 31140 33055 32519 33502 34029 35214 35681 37254 36764 38388 37405 37359 38008 38803 40320 40336 41533 42686 42274 41474 42525 43425 42607 43756 44417 45657 45778 45849 47035 46628 49279 49752 50382 49900 50583 51889 52429 53110 54154 55356 53789 53837 54851 54104 54177 52000 51839 52282 51387 50846 61599 57662 53647 52596 51434 50268 48385 46762 47349 45243 46178 44929 44605 42318 42730 43031 45177 45780 47549 49254 47958 50568 56526 62069 65690 66669 67208 66061 65446 62883 59629 57246 57267 57313 55624 56891 57230 57551 56304 56283 56458 56919 58347 60673 65747 65235 65177 64542 61703 58844 59825 61473 61559 60879 61836 59643 57487 56869 56514 58617 60779 59524 60605 61410 63481 66402 68354
"35 years" "men" 29300 28041 25113 26507 28045 26864 24732 26593 28953 28532 27367 25971 24967 23458 24310 26585 25072 26477 25993 27601 26111 24609 24689 25689 27944 26995 26851 25102 26285 29071 27141 26564 27105 29760 30042 29763 27925 29690 30991 31269 30353 30863 27725 24436 27679 28793 31122 30545 31756 32450 33743 33850 35519 34379 35871 34905 35419 35659 35621 37820 38212 39150 39957 39461 38193 38883 40256 39655 41227 41602 43331 43918 44612 45697 45320 47746 48999 49314 48875 50357 50896 52596 53623 54762 56661 55619 55710 56484 55970 55205 52903 53146 53336 52171 52090 62973 58760 54307 53820 51925 51025 48901 47431 47672 45963 46654 45780 45568 43727 44422 45841 47156 48171 50052 52040 51606 54068 60968 66153 70435 70781 70789 69107 67738 65042 62564 59487 59755 60072 58329 59484 60812 59722 59556 60026 58779 59797 61541 64527 68920 69188 69044 68152 64056 61329 61621 64108 64245 63406 64743 62268 60300 59813 59198 61905 64146 63207 65301 65850 68333 71088
"35 years" "women" 30734 29682 26371 28621 29862 28444 25997 27812 30703 30536 29986 28795 27379 26428 27236 29250 28260 29849 28664 30449 29060 27106 27472 28763 30987 29870 29327 27636 29290 32138 29917 29986 31001 33559 34020 33638 31374 32997 33797 34221 33646 33826 30907 27743 30228 30858 32830 32253 33304 33775 35089 35398 37025 36499 38125 37176 37183 37828 38311 40056 40318 41337 42432 42042 41271 42206 43192 42365 43577 44202 45448 45513 45761 46972 46521 49183 49603 50263 49808 50504 51677 52362 52997 54090 55338 53778 53995 54964 54206 54161 51998 51867 52241 51279 50829 61627 57677 53694 52613 51386 50150 48385 46728 47343 45270 46280 44989 44586 42255 42881 43202 45105 45643 47449 49223 47964 50591 56587 62065 65694 66550 67103 66037 65388 62845 59581 57271 57374 57438 55908 57129 57403 57684 56593 56796 56462 56880 58413 60738 65838 65452 65416 64770 61951 59028 60077 61856 62024 61407 62425 60080 57914 57317 57076 59182 61427 60418 61495 62250 64208 66769
"36 years" "men" 27374 29007 27794 24880 26237 27732 26545 24413 26102 28318 27549 26968 25658 24652 23147 24045 26424 24874 26252 25715 27408 25634 24141 24397 25431 27675 26658 26340 24643 25965 28687 26822 26173 26766 29599 29811 29486 27740 29478 30746 30359 30114 30571 27404 24268 27441 28561 30867 30394 31489 31662 33381 33559 35120 34037 35585 34708 35225 35144 35355 37784 38055 38913 39504 39211 37801 38567 40043 39439 41028 41486 43417 43843 44524 45617 45198 47620 48876 49206 48814 50325 50795 52455 53486 54722 56580 55764 55807 56534 55892 55012 52886 53091 53196 52056 52118 62969 58736 54291 53666 51808 50961 48865 47399 47711 46116 46792 45724 45400 43919 44627 45690 46807 47863 49979 51998 51526 54002 60879 66024 70296 70568 70567 68909 67632 64955 62471 59500 59863 60365 58558 59657 60848 59871 60033 59906 58669 59721 61492 64522 69053 69319 69190 68304 64151 61449 62167 64574 64664 63871 65009 62583 60609 60299 59855 62458 65309 63991 66033 66506 68559
"36 years" "women" 28980 30498 29447 26167 28362 29585 28143 25724 27443 30208 30185 29653 28499 27095 26136 26950 29100 28018 29606 28383 30191 28641 26660 27145 28467 30685 29551 28969 27244 28962 31863 29575 29593 30644 33297 33729 33392 31135 32818 33516 34106 33386 33490 30644 27552 29975 30652 32594 32008 33049 33677 34838 35157 36752 36288 37867 36988 36956 37371 38077 39964 40070 41094 42189 41838 41016 42007 42995 42154 43416 43928 45291 45405 45734 46875 46375 49056 49460 50146 49733 50412 51584 52230 52940 54053 55393 53972 54028 55041 54154 54149 52024 51835 52160 51217 50840 61579 57738 53722 52537 51291 50177 48388 46673 47379 45382 46344 44958 44555 42375 43041 43184 44966 45505 47424 49226 47983 50643 56576 62026 65632 66486 67070 65981 65393 62797 59583 57320 57508 57679 56194 57322 57486 57936 56956 56807 56387 56951 58457 60845 65947 65684 65639 64999 62123 59219 60502 62285 62605 61895 62798 60492 58371 57808 57655 59759 62364 61178 62345 62870 64500
"37 years" "men" 28510 27104 28751 27521 24596 25940 27393 26215 23953 25531 27397 27160 26664 25324 24324 22886 23884 26224 24649 25973 25644 26927 25175 23865 24146 25173 27349 26200 25929 24355 25898 28304 26449 25838 26625 29334 29562 29254 27525 29248 30030 30118 29745 30222 27198 24064 27243 28330 30691 30147 30875 31350 33158 33206 34777 33696 35349 34521 34777 34905 35306 37632 37843 38515 39231 38819 37521 38357 39839 39217 40842 41345 43394 43763 44428 45495 45053 47453 48734 49148 48782 50223 50659 52327 53391 54764 56725 55867 55861 56446 55653 55036 52795 52937 53098 52043 52079 62962 58689 54217 53546 51738 50921 48815 47449 47883 46200 46698 45629 45551 44048 44505 45387 46508 47745 49892 51938 51481 53855 60756 65862 70134 70386 70359 68739 67505 64827 62486 59595 60053 60496 58660 59652 61026 60214 59843 59797 58609 59630 61450 64574 69192 69502 69360 68445 64245 61730 62635 64851 65097 64119 65334 62958 61052 60893 60446 63415 66102 64670 66725 66690
"37 years" "women" 29941 28737 30259 29214 25922 28099 29286 27861 25370 26983 29671 29853 29357 28179 26785 25861 26788 28866 27786 29340 28425 29773 28214 26352 26872 28194 30376 29197 28615 26941 28847 31524 29230 29291 30442 33027 33458 33176 30924 32537 33443 33881 33109 33178 30401 27323 29730 30431 32378 31775 32868 33444 34618 34893 36486 36045 37680 36765 36548 37137 37927 39735 39832 40828 41981 41547 40820 41810 42804 41983 43271 43814 45195 45337 45638 46790 46245 48893 49336 50052 49526 50344 51472 52143 52908 54074 55519 53976 54038 55025 54107 54215 51975 51728 52103 51196 50790 61597 57698 53653 52344 51289 50120 48349 46682 47445 45454 46309 44950 44676 42453 42985 43050 44843 45483 47446 49254 48031 50625 56571 61978 65554 66424 67013 65956 65362 62763 59672 57396 57703 57874 56278 57423 57757 58309 56937 56809 56354 56937 58559 61026 66170 65898 65818 65185 62280 59613 60876 62705 63045 62199 63203 60851 58812 58375 58154 60532 63145 61856 62884 63167
