"Mean population (by year of birth) by region, age, sex and year"

"region","age","sex","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"00 Sweden","44 years","women",59295.0,61934.0,67100.0,67120.5,67132.5,66778.0,64127.0,61555.5,63041.5,64782.0,65296.0,64681.0,66137.0,63740.0,61585.5
"00 Sweden","45 years","men",59713.0,61739.5,65279.0,69620.0,70230.0,70143.5,69564.5,65968.5,63572.5,64840.5,67025.0,67646.5,66941.0,68596.0,66105.0
"00 Sweden","45 years","women",57570.0,59483.5,62121.0,67296.0,67337.0,67286.5,66945.5,64362.0,61807.5,63311.5,65158.5,65683.0,65026.5,66421.0,63951.5
"00 Sweden","46 years","men",58627.5,59811.0,61829.5,65384.0,69639.5,70230.0,70202.0,69682.0,66208.5,63882.5,65207.0,67385.5,68001.5,67194.5,68760.0
"00 Sweden","46 years","women",57179.0,57716.5,59671.0,62301.5,67481.0,67461.5,67449.5,67109.0,64607.0,62064.0,63648.5,65528.5,66019.0,65285.5,66608.0
"00 Sweden","47 years","men",59457.0,58743.5,59878.0,61879.5,65429.0,69619.5,70248.0,70301.0,69848.5,66473.5,64206.5,65557.0,67626.0,68260.0,67323.0
"00 Sweden","47 years","women",57283.5,57303.5,57857.5,59849.0,62421.0,67586.5,67578.5,67594.5,67267.0,64813.5,62368.0,63988.5,65820.0,66278.5,65437.0
"00 Sweden","48 years","men",59117.0,59480.0,58780.0,59912.5,61874.0,65382.5,69610.0,70317.5,70472.5,70033.5,66753.0,64535.0,65795.5,67777.5,68353.0
"00 Sweden","48 years","women",57273.5,57398.0,57432.5,57986.5,59965.5,62499.5,67642.0,67699.0,67720.0,67450.0,65056.0,62651.5,64246.5,66023.5,66417.0
"00 Sweden","49 years","men",59381.0,59110.5,59464.5,58796.0,59927.0,61845.5,65342.5,69632.5,70416.5,70611.5,70220.0,67008.0,64751.5,65949.5,67829.5
"00 Sweden","49 years","women",58476.5,57349.0,57486.5,57562.0,58068.5,60061.5,62573.0,67727.5,67838.5,67834.5,67667.5,65283.5,62871.5,64409.0,66135.0
"00 Sweden","50 years","men",60242.5,59377.5,59057.5,59417.5,58771.5,59875.5,61827.0,65315.5,69721.5,70501.0,70749.0,70395.0,67160.0,64872.5,65998.5
"00 Sweden","50 years","women",58055.5,58485.0,57413.0,57569.0,57623.0,58093.5,60117.0,62661.0,67856.5,67982.0,68003.0,67861.0,65449.0,63025.5,64478.0
"00 Sweden","51 years","men",58766.5,60179.5,59328.0,58989.0,59368.0,58700.0,59804.0,61807.0,65332.0,69829.5,70628.5,70889.5,70484.0,67259.0,64883.5
"00 Sweden","51 years","women",57808.0,58086.0,58492.5,57465.5,57613.5,57646.5,58111.0,60130.0,62749.5,67959.0,68154.0,68185.0,68021.0,65561.5,63068.5
"00 Sweden","52 years","men",57591.5,58646.5,60074.5,59245.5,58884.5,59265.5,58651.5,59742.0,61838.5,65343.0,69917.0,70739.0,70933.5,70491.5,67249.5
"00 Sweden","52 years","women",56522.5,57798.5,58095.5,58516.5,57474.0,57606.5,57673.5,58142.0,60150.0,62814.0,68071.0,68303.5,68321.0,68110.5,65582.5
"00 Sweden","53 years","men",59077.0,57469.0,58476.5,59954.0,59132.5,58739.5,59118.0,58604.0,59709.0,61839.0,65401.5,69964.5,70728.0,70906.5,70410.5
"00 Sweden","53 years","women",57768.0,56462.0,57777.5,58063.5,58502.0,57449.0,57590.5,57691.5,58186.0,60183.5,62900.5,68182.5,68402.0,68385.0,68103.0
"00 Sweden","54 years","men",58364.5,58887.0,57316.5,58322.5,59789.5,58978.5,58622.5,58979.0,58574.0,59660.5,61841.0,65439.0,69902.5,70639.5,70779.5
"00 Sweden","54 years","women",57553.5,57717.5,56407.0,57734.5,58008.0,58439.0,57423.0,57550.0,57690.0,58206.0,60279.5,62973.0,68212.0,68428.0,68356.5
"00 Sweden","55 years","men",57678.5,58170.5,58704.5,57155.0,58168.0,59596.5,58803.5,58500.5,58892.0,58515.5,59611.5,61838.0,65359.0,69769.5,70489.5
"00 Sweden","55 years","women",57097.5,57452.5,57646.0,56343.5,57684.5,57940.5,58369.5,57382.0,57511.5,57681.0,58228.0,60358.0,62997.0,68156.5,68361.0
"00 Sweden","56 years","men",60237.5,57444.5,57962.0,58512.5,56943.0,57951.0,59376.0,58660.0,58380.5,58801.0,58437.0,59538.5,61774.5,65223.0,69555.0
"00 Sweden","56 years","women",59216.5,57006.5,57360.0,57562.5,56265.0,57589.0,57879.5,58294.0,57354.0,57475.5,57699.5,58242.5,60332.5,62985.5,68052.5
"00 Sweden","57 years","men",61952.5,59962.0,57175.0,57727.0,58285.0,56684.5,57706.0,59136.5,58530.0,58263.5,58691.0,58342.5,59363.5,61648.0,64993.0
"00 Sweden","57 years","women",61677.5,59111.5,56874.5,57238.0,57466.0,56170.5,57457.0,57802.0,58199.0,57305.0,57425.0,57704.0,58188.0,60251.0,62901.5
"00 Sweden","58 years","men",63831.0,61620.5,59657.5,56877.0,57455.5,58026.0,56454.5,57487.5,58931.0,58340.0,58134.5,58570.0,58206.5,59142.5,61418.0
"00 Sweden","58 years","women",63804.5,61505.0,58993.0,56721.5,57089.0,57334.5,56064.0,57341.5,57701.5,58088.5,57268.0,57353.0,57633.0,58083.0,60121.5
"00 Sweden","59 years","men",64393.0,63447.0,61263.0,59327.5,56545.5,57141.0,57753.0,56198.5,57243.5,58738.5,58161.0,57960.5,58395.0,58035.5,58873.0
"00 Sweden","59 years","women",64158.5,63597.0,61323.0,58813.5,56548.5,56924.0,57189.0,55929.0,57197.0,57565.0,57993.0,57196.0,57252.5,57523.0,57917.5
"00 Sweden","60 years","men",65202.5,63974.5,63034.0,60911.0,58962.5,56186.5,56831.5,57435.5,55920.0,56952.0,58523.0,57979.5,57716.5,58138.5,57777.5
"00 Sweden","60 years","women",64587.0,63905.0,63365.5,61130.5,58574.5,56350.5,56758.0,57034.5,55759.0,57023.5,57397.0,57879.5,57029.5,57112.5,57375.5
"00 Sweden","61 years","men",64566.5,64747.5,63526.0,62620.0,60526.5,58576.5,55813.5,56490.0,57082.0,55618.5,56634.0,58237.0,57713.5,57408.0,57804.5
"00 Sweden","61 years","women",63562.5,64311.0,63639.5,63153.0,60906.5,58346.5,56133.0,56563.5,56845.5,55568.0,56855.0,57207.5,57691.5,56831.5,56907.0
"00 Sweden","62 years","men",63355.5,64048.5,64255.5,63044.5,62191.0,60085.5,58198.5,55399.0,56104.0,56710.5,55286.5,56268.0,57881.0,57360.0,57037.0
"00 Sweden","62 years","women",62167.0,63248.0,64042.0,63378.5,62919.5,60646.5,58135.5,55909.5,56340.0,56612.0,55382.5,56663.0,56981.0,57424.5,56584.0
"00 Sweden","63 years","men",58604.0,62765.0,63508.0,63736.0,62522.0,61689.0,59631.5,57770.5,54949.0,55715.5,56314.5,54911.5,55864.5,57471.0,56922.5
"00 Sweden","63 years","women",58322.5,61839.0,62939.0,63728.5,63084.5,62616.5,60336.5,57880.0,55671.5,56068.0,56364.0,55161.0,56419.0,56725.0,57117.0
"00 Sweden","64 years","men",53684.0,57986.5,62136.5,62958.5,63152.0,61977.5,61152.0,59134.5,57294.5,54504.5,55294.5,55834.5,54463.0,55428.5,56978.5
"00 Sweden","64 years","women",52927.0,57971.0,61478.0,62601.0,63339.0,62745.5,62279.5,59984.5,57578.0,55395.5,55776.5,56088.5,54867.0,56108.5,56436.5
"00 Sweden","65 years","men",46731.0,53100.5,57332.5,61467.0,62334.5,62489.0,61395.5,60564.0,58596.0,56798.0,54008.5,54813.0,55271.0,53982.5,54917.0
