name,code,sex,age,ex_2015,ex_2019,ex_2020,ex_diff_1519,ex_diff_1920,ex_diff_1920_q025,ex_diff_1920_q975,ex_avgdiff_pre2020,ex_avgdiff_pre2020_q025,ex_avgdiff_pre2020_q975,rank_e0f19,rank_d0m20
Estonia,EE,Male,70,12.438734610959926,12.89958078023667,12.770818223630728,0.4608461692767438,-0.12876255660594182,-0.4641661259352477,0.23653648022163049,0.11521154231918596,0.024183278438351753,0.19593361553588495,12,27
Estonia,EE,Male,80,7.578103730274816,8.09551974675586,7.840040927477573,0.517416016481044,-0.2554788192782871,-0.6246497230243597,0.09885150224317613,0.129354004120261,0.03697611631648685,0.2207409489412009,12,27
Estonia,EE,Male,85,5.7820446528089,6.049096804075962,5.702567350730513,0.2670521512670616,-0.3465294533454486,-0.8142954729326817,0.14813608211315837,0.0667630378167654,-0.06607472409069763,0.19163603680102564,12,27
Spain,ES,Female,0,85.41671470526228,86.4993507055907,85.0605637786268,1.0826360003284208,-1.4387869269638998,-1.5136743244161504,-1.374656543823427,0.2706590000821052,0.25384221268126994,0.2891989860699227,30,6
Spain,ES,Female,10,75.68738729081379,76.75093194146967,75.29429501653907,1.063544650655885,-1.4566369249306064,-1.5241257972528177,-1.3938529992543902,0.26588616266397125,0.2489749056873954,0.28365999164564015,30,6
Spain,ES,Female,20,65.74756840893453,66.81459212281615,65.35759064023328,1.0670237138816248,-1.4570014825828679,-1.523799455751939,-1.3953199736410569,0.2667559284704062,0.2509070221228276,0.2837693667871647,30,6
Spain,ES,Female,30,55.83907686486669,56.91560650664203,55.460531171877506,1.0765296417753376,-1.4550753347645227,-1.521268609230573,-1.3928616333747572,0.2691324104438344,0.25335966399062404,0.28611715876267485,30,6
Spain,ES,Female,40,45.984512622061516,47.0698278021322,45.63185657773449,1.0853151800706868,-1.4379712243977139,-1.5012064878192857,-1.3759925432378832,0.2713287950176717,0.25567498109903475,0.2882455548082511,30,6
Spain,ES,Female,50,36.36784975003962,37.40723615827587,35.97822754792747,1.039386408236254,-1.4290086103484043,-1.487462333810908,-1.3712959847250406,0.2598466020590635,0.24403287181145966,0.2759854361943127,30,6
Spain,ES,Female,60,27.137223460039063,28.147795024423345,26.734972386005122,1.010571564384282,-1.4128226384182234,-1.4701640195771457,-1.3521175092189246,0.2526428910960705,0.23601095517946952,0.26774142113904376,30,6
Spain,ES,Female,70,18.268876205457182,19.34823645574345,17.999137163480025,1.0793602502862676,-1.3490992922634248,-1.4046718797728954,-1.2915326738664232,0.2698400625715669,0.2547593542390739,0.28543858015744317,30,6
Spain,ES,Female,80,10.289345603814448,11.27899714079471,10.056045074692051,0.9896515369802614,-1.2229520661026587,-1.2813053555021399,-1.1669270013831499,0.24741288424506536,0.2319219690847662,0.26127997888276844,30,6
