code,sex,year,age,ex,ex_diff,ex_diff_1519,ex_2015,ex_2019,ex_2020,name,code_hmd,rank_e0f19,rank_d0m20,avg_ex_diff_1519
AT,Female,2020,66,20.11368443480608,-0.6739436819334053,0.27635804332760827,20.511270073411875,20.787628116739484,20.11368443480608,Austria,AUT,20,17,0.06908951083190207
AT,Female,2020,67,19.264697278089198,-0.6849648860462416,0.2744969047209622,19.675165259414477,19.94966216413544,19.264697278089198,Austria,AUT,20,17,0.06862422618024056
AT,Female,2020,68,18.425154503530454,-0.6944742889720352,0.27135889993042994,18.84826989257206,19.11962879250249,18.425154503530454,Austria,AUT,20,17,0.06783972498260749
AT,Female,2020,69,17.593196470737638,-0.7010630818564358,0.26574147273578674,18.028518079858287,18.294259552594074,17.593196470737638,Austria,AUT,20,17,0.06643536818394669
AT,Female,2020,70,16.767867206934476,-0.7057675364615683,0.25974312280610334,17.21389162058994,17.473634743396044,16.767867206934476,Austria,AUT,20,17,0.06493578070152584
AT,Female,2020,71,15.951377595133208,-0.7075121206128774,0.25612418704654516,16.40276552869954,16.658889715746085,15.951377595133208,Austria,AUT,20,17,0.06403104676163629
AT,Female,2020,72,15.14609149724703,-0.7046045288041451,0.2580483546025931,15.592647671448582,15.850696026051175,15.14609149724703,Austria,AUT,20,17,0.06451208865064828
AT,Female,2020,73,14.352675297964302,-0.6975924709052457,0.2649473318613982,14.78532043700815,15.050267768869547,14.352675297964302,Austria,AUT,20,17,0.06623683296534955
AT,Female,2020,74,13.570875411932821,-0.6890925925013445,0.2747496283383075,13.985218376095858,14.259968004434166,13.570875411932821,Austria,AUT,20,17,0.06868740708457688
AT,Female,2020,75,12.800452007327321,-0.6814955795472901,0.2857727361343301,13.196174850740281,13.481947586874611,12.800452007327321,Austria,AUT,20,17,0.07144318403358252
AT,Female,2020,76,12.040864532383633,-0.6746638416861135,0.2970542379125849,12.418474136157162,12.715528374069747,12.040864532383633,Austria,AUT,20,17,0.07426355947814622
AT,Female,2020,77,11.289076347431497,-0.6729238033603391,0.3077443346814146,11.654255816110421,11.962000150791836,11.289076347431497,Austria,AUT,20,17,0.07693608367035365
AT,Female,2020,78,10.546420348407526,-0.6769635271691783,0.3176871188368029,10.905696756739902,11.223383875576705,10.546420348407526,Austria,AUT,20,17,0.07942177970920072
AT,Female,2020,79,9.817346900055506,-0.6817809285181529,0.3248902089810599,10.1742376195926,10.49912782857366,9.817346900055506,Austria,AUT,20,17,0.08122255224526498
AT,Female,2020,80,9.105109830355772,-0.6779348819111277,0.32066558785287924,9.46237912441402,9.7830447122669,9.105109830355772,Austria,AUT,20,17,0.08016639696321981
AT,Female,2020,81,8.40801701492882,-0.6656248774173683,0.29692998281872107,8.776711909527467,9.073641892346188,8.40801701492882,Austria,AUT,20,17,0.07423249570468027
AT,Female,2020,82,7.727224218550432,-0.6452518129296587,0.2465079858466499,8.12596804563344,8.37247603148009,7.727224218550432,Austria,AUT,20,17,0.061626996461662475
AT,Female,2020,83,7.064548129850603,-0.6188838270567381,0.17041570354501534,7.513016253362326,7.6834319569073415,7.064548129850603,Austria,AUT,20,17,0.042603925886253835
AT,Female,2020,84,6.420980411146747,-0.5932649700295531,0.07961430576534756,6.934631075410953,7.0142453811763,6.420980411146747,Austria,AUT,20,17,0.01990357644133689
AT,Female,2020,85,5.798243725204472,-0.5796770392008863,-0.008609111863835395,6.3865298762691936,6.377920764405358,5.798243725204472,Austria,AUT,20,17,-0.0021522779659588487
AT,Male,2020,0,79.26478300921791,-0.8108138092372315,0.8898478265157053,79.18574899193943,80.07559681845514,79.26478300921791,Austria,AUT,20,17,0.22246195662892632
AT,Male,2020,1,78.38087849055454,-0.8164390410002085,0.8812496676517299,78.31606786390302,79.19731753155475,78.38087849055454,Austria,AUT,20,17,0.22031241691293246
